t	z	A	theta	lambda	theta_s	lambda_s
72000.000000	1.348525	1.613475	0.161030	-0.752045	-0.005733	-2.096648
73000.000000	1.378635	1.608125	0.159615	-0.794229	-0.005813	-2.169401
74000.000000	1.408775	1.602960	0.158414	-0.836410	-0.005892	-2.242155
75000.000000	1.438938	1.597952	0.157421	-0.878590	-0.005972	-2.314908
76000.000000	1.469120	1.593069	0.156630	-0.920768	-0.006051	-2.387661
77000.000000	1.499319	1.588283	0.156038	-0.962945	-0.006131	-2.460415
78000.000000	1.571195	1.577021	0.156038	-0.962945	-0.006211	-2.533168
79000.000000	1.643076	1.565790	0.156038	-0.962945	-0.006290	-2.605921
80000.000000	1.714954	1.554475	0.156038	-0.962945	-0.006370	-2.678675
81000.000000	1.786818	1.542954	0.156038	-0.962945	-0.006449	-2.751428
82000.000000	1.858658	1.531099	0.156038	-0.962945	-0.006529	-2.824181
83000.000000	1.930466	1.518765	0.156038	-0.962945	-0.006609	-2.896935
84000.000000	2.002224	1.505783	0.156038	-0.962945	-0.006688	-2.969688
85000.000000	2.073921	1.491953	0.156038	-0.962945	-0.006768	-3.042441
86000.000000	2.145538	1.477027	0.156038	-0.962945	-0.006848	-3.115195
87000.000000	2.217049	1.460692	0.156038	-0.962945	-0.006927	3.095237
88000.000000	2.288424	1.442541	0.156038	-0.962945	-0.007007	3.022484
89000.000000	2.359623	1.422028	0.156038	-0.962945	-0.007086	2.949731
90000.000000	2.430587	1.398404	0.156038	-0.962945	-0.007166	2.876977
91000.000000	2.501235	1.370603	0.156038	-0.962945	-0.007246	2.804224
92000.000000	2.571446	1.337055	0.156038	-0.962945	-0.007325	2.731471
93000.000000	2.641032	1.295363	0.156038	-0.962945	-0.007405	2.658717
94000.000000	2.709687	1.241682	0.156038	-0.962945	-0.007484	2.585964
95000.000000	2.776882	1.169532	0.156038	-0.962945	-0.007564	2.513211
96000.000000	2.841632	1.067352	0.156038	-0.962945	-0.007644	2.440457
97000.000000	2.901940	0.913618	0.156038	-0.962945	-0.007723	2.367704
98000.000000	2.953486	0.669410	0.156038	-0.962945	-0.007803	2.294951
99000.000000	2.987222	0.287061	0.156038	-0.962945	-0.007883	2.222197
100000.000000	2.990689	-0.195470	0.156038	-0.962945	-0.007962	2.149444
101000.000000	2.962124	-0.606698	0.156038	-0.962945	-0.008042	2.076691
102000.000000	2.913248	-0.875499	0.156038	-0.962945	-0.008121	2.003937
103000.000000	2.854248	-1.043682	0.156038	-0.962945	-0.008201	1.931184
104000.000000	2.790189	-1.154094	0.156038	-0.962945	-0.008281	1.858431
105000.000000	2.723388	-1.231160	0.156038	-0.962945	-0.008360	1.785677
106000.000000	2.654979	-1.287950	0.156038	-0.962945	-0.008440	1.712924
107000.000000	2.585556	-1.331715	0.156038	-0.962945	-0.008519	1.640171
108000.000000	2.515459	-1.366711	0.156038	-0.962945	-0.008599	1.567417
109000.000000	2.444895	-1.395563	0.156038	-0.962945	-0.008679	1.494664
110000.000000	2.373994	-1.419973	0.156038	-0.962945	-0.008758	1.421911
111000.000000	2.302845	-1.441094	0.156038	-0.962945	-0.008838	1.349157
112000.000000	2.231511	-1.459726	0.156038	-0.962945	-0.008917	1.276404
113000.000000	2.160036	-1.476452	0.156038	-0.962945	-0.008997	1.203651
114000.000000	2.088450	-1.491704	0.156038	-0.962945	-0.009077	1.130897
115000.000000	2.016781	-1.505809	0.156038	-0.962945	-0.009156	1.058144
116000.000000	1.945048	-1.519030	0.156038	-0.962945	-0.009236	0.985391
117000.000000	1.873265	-1.531576	0.156038	-0.962945	-0.009316	0.912637
118000.000000	1.801448	-1.543619	0.156038	-0.962945	-0.009395	0.839884
119000.000000	1.729609	-1.555313	0.156038	-0.962945	-0.009475	0.767131
120000.000000	1.657755	-1.566790	0.156038	-0.962945	-0.009554	0.694377
121000.000000	1.585898	-1.578174	0.156038	-0.962945	-0.009634	0.621624
122000.000000	1.472381	-1.596118	0.155119	-0.920779	-0.009714	0.548871
123000.000000	1.358882	-1.614220	0.153445	-0.878646	-0.009793	0.476117
124000.000000	1.245418	-1.632708	0.150999	-0.836564	-0.009873	0.403364
125000.000000	1.132008	-1.651850	0.147755	-0.794556	-0.009952	0.330611
126000.000000	1.018673	-1.671994	0.143671	-0.752646	-0.010032	0.257857
127000.000000	0.905444	-1.693617	0.138688	-0.710862	-0.010112	0.185104
128000.000000	0.792363	-1.717415	0.132716	-0.669243	-0.010191	0.112351
129000.000000	0.679489	-1.744476	0.125624	-0.627839	-0.010271	0.039597
130000.000000	0.566919	-1.776608	0.117209	-0.586729	-0.010350	-0.033156
131000.000000	0.454812	-1.817101	0.107141	-0.546041	-0.010430	-0.105909
132000.000000	0.343473	-1.872661	0.094832	-0.506029	-0.010510	-0.178663
133000.000000	0.233588	-1.959552	0.079101	-0.467299	-0.010589	-0.251416
