t	z	A	theta	lambda	theta_s	lambda_s
2636000.000000	0.677538	1.614353	-0.224867	0.559721	-0.201699	-0.133790
2637000.000000	0.706690	1.617047	-0.226993	0.517023	-0.201770	-0.206536
2638000.000000	0.735795	1.619812	-0.229236	0.474310	-0.201840	-0.279281
2639000.000000	0.764854	1.622657	-0.231599	0.431581	-0.201910	-0.352027
2640000.000000	0.793862	1.625590	-0.234087	0.388835	-0.201980	-0.424773
2641000.000000	0.822813	1.628619	-0.236702	0.346071	-0.202051	-0.497518
2642000.000000	0.851707	1.631748	-0.239451	0.303288	-0.202121	-0.570264
2643000.000000	0.880538	1.634988	-0.242336	0.260485	-0.202191	-0.643010
2644000.000000	0.909302	1.638346	-0.245364	0.217662	-0.202261	-0.715755
2645000.000000	0.937994	1.641831	-0.248540	0.174816	-0.202331	-0.788501
2646000.000000	0.966611	1.645454	-0.251868	0.131948	-0.202402	-0.861247
2647000.000000	0.995145	1.649219	-0.255357	0.089055	-0.202472	-0.933992
2648000.000000	1.023593	1.653141	-0.259011	0.046137	-0.202542	-1.006738
2649000.000000	1.051948	1.657227	-0.262838	0.003193	-0.202612	-1.079483
2650000.000000	1.080203	1.661490	-0.266846	-0.039779	-0.202682	-1.152229
2651000.000000	1.108352	1.665942	-0.271042	-0.082780	-0.202753	-1.224975
2652000.000000	1.136386	1.670594	-0.275435	-0.125811	-0.202823	-1.297720
2653000.000000	1.164298	1.675460	-0.280033	-0.168874	-0.202893	-1.370466
2654000.000000	1.192079	1.680554	-0.284847	-0.211969	-0.202963	-1.443211
2655000.000000	1.219720	1.685892	-0.289886	-0.255099	-0.203033	-1.515957
2656000.000000	1.247210	1.691489	-0.295160	-0.298265	-0.203103	-1.588703
2657000.000000	1.274538	1.697362	-0.300683	-0.341467	-0.203173	-1.661448
2658000.000000	1.301692	1.703530	-0.306465	-0.384708	-0.203243	-1.734194
2659000.000000	1.328658	1.710014	-0.312520	-0.427989	-0.203314	-1.806939
2660000.000000	1.355422	1.716831	-0.318861	-0.471312	-0.203384	-1.879685
2661000.000000	1.381968	1.724006	-0.325504	-0.514678	-0.203454	-1.952430
2662000.000000	1.408282	1.731562	-0.332463	-0.558087	-0.203524	-2.025176
2663000.000000	1.434341	1.739524	-0.339755	-0.601543	-0.203594	-2.097922
2664000.000000	1.460126	1.747918	-0.347398	-0.645046	-0.203664	-2.170667
2665000.000000	1.485617	1.756774	-0.355411	-0.688597	-0.203734	-2.243413
2666000.000000	1.510788	1.766121	-0.363813	-0.732197	-0.203804	-2.316158
2667000.000000	1.577279	1.791707	-0.363813	-0.732197	-0.203874	-2.388904
2668000.000000	1.643381	1.818291	-0.363813	-0.732197	-0.203944	-2.461649
2669000.000000	1.709028	1.846112	-0.363813	-0.732197	-0.204014	-2.534395
2670000.000000	1.774146	1.875426	-0.363813	-0.732197	-0.204084	-2.607140
2671000.000000	1.838646	1.906526	-0.363813	-0.732197	-0.204154	-2.679886
2672000.000000	1.902424	1.939740	-0.363813	-0.732197	-0.204224	-2.752631
2673000.000000	1.965356	1.975449	-0.363813	-0.732197	-0.204294	-2.825377
2674000.000000	2.027289	2.014092	-0.363813	-0.732197	-0.204364	-2.898122
2675000.000000	2.088044	2.056179	-0.363813	-0.732197	-0.204434	-2.970868
2676000.000000	2.147396	2.102301	-0.363813	-0.732197	-0.204504	-3.043613
2677000.000000	2.205075	2.153148	-0.363813	-0.732197	-0.204574	-3.116359
2678000.000000	2.260745	2.209507	-0.363813	-0.732197	-0.204644	3.094081
2679000.000000	2.313998	2.272263	-0.363813	-0.732197	-0.204714	3.021336
2680000.000000	2.364331	2.342384	-0.363813	-0.732197	-0.204784	2.948590
2681000.000000	2.411136	2.420861	-0.363813	-0.732197	-0.204854	2.875845
2682000.000000	2.453691	2.508614	-0.363813	-0.732197	-0.204924	2.803099
2683000.000000	2.491156	2.606315	-0.363813	-0.732197	-0.204994	2.730354
2684000.000000	2.522604	2.714148	-0.363813	-0.732197	-0.205064	2.657609
2685000.000000	2.547077	2.831513	-0.363813	-0.732197	-0.205134	2.584863
2686000.000000	2.563686	2.956768	-0.363813	-0.732197	-0.205204	2.512118
2687000.000000	2.571743	3.087178	-0.363813	-0.732197	-0.205274	2.439372
2688000.000000	2.570885	-3.064034	-0.363813	-0.732197	-0.205344	2.366627
2689000.000000	2.561151	-2.934359	-0.363813	-0.732197	-0.205414	2.293882
2690000.000000	2.542976	-2.810440	-0.363813	-0.732197	-0.205483	2.221136
2691000.000000	2.517096	-2.694821	-0.363813	-0.732197	-0.205553	2.148391
2692000.000000	2.484422	-2.588923	-0.363813	-0.732197	-0.205623	2.075645
2693000.000000	2.445913	-2.493180	-0.363813	-0.732197	-0.205693	2.002900
2694000.000000	2.402484	-2.407290	-0.363813	-0.732197	-0.205763	1.930155
2695000.000000	2.354951	-2.330515	-0.363813	-0.732197	-0.205833	1.857409
2696000.000000	2.304016	-2.261913	-0.363813	-0.732197	-0.205903	1.784664
2697000.000000	2.250267	-2.200490	-0.363813	-0.732197	-0.205972	1.711919
2698000.000000	2.194183	-2.145294	-0.363813	-0.732197	-0.206042	1.639173
2699000.000000	2.136161	-2.095456	-0.363813	-0.732197	-0.206112	1.566428
2700000.000000	2.076521	-2.050209	-0.363813	-0.732197	-0.206182	1.493683
2701000.000000	2.015525	-2.008884	-0.363813	-0.732197	-0.206252	1.420937
2702000.000000	1.953388	-1.970905	-0.363813	-0.732197	-0.206321	1.348192
2703000.000000	1.890283	-1.935779	-0.363813	-0.732197	-0.206391	1.275447
2704000.000000	1.826356	-1.903078	-0.363813	-0.732197	-0.206461	1.202701
2705000.000000	1.761729	-1.872436	-0.363813	-0.732197	-0.206531	1.129956
2706000.000000	1.696501	-1.843530	-0.363813	-0.732197	-0.206601	1.057211
2707000.000000	1.630758	-1.816076	-0.363813	-0.732197	-0.206670	0.984465
2708000.000000	1.522906	-1.774106	-0.372548	-0.688529	-0.206740	0.911720
2709000.000000	1.414688	-1.732509	-0.379591	-0.644376	-0.206810	0.838975
2710000.000000	1.306182	-1.690922	-0.384928	-0.599837	-0.206880	0.766230
2711000.000000	1.197461	-1.648983	-0.388535	-0.555016	-0.206949	0.693484
2712000.000000	1.088595	-1.606296	-0.390370	-0.510020	-0.207019	0.620739
2713000.000000	0.979651	-1.562376	-0.390376	-0.464963	-0.207089	0.547994
2714000.000000	0.870709	-1.516574	-0.388473	-0.419971	-0.207158	0.475248
2715000.000000	0.761861	-1.467962	-0.384545	-0.375185	-0.207228	0.402503
2716000.000000	0.653232	-1.415098	-0.378423	-0.330778	-0.207298	0.329758
2717000.000000	0.545003	-1.355591	-0.369850	-0.286972	-0.207368	0.257013
2718000.000000	0.437466	-1.285117	-0.358412	-0.244094	-0.207437	0.184267
2719000.000000	0.331162	-1.194985	-0.343393	-0.202705	-0.207507	0.111522
2720000.000000	0.227261	-1.064735	-0.323424	-0.164003	-0.207577	0.038777
2721000.000000	0.128997	-0.833764	-0.295571	-0.131467	-0.207646	-0.033968
2722000.000000	0.049398	-0.266459	-0.255391	-0.120001	-0.207716	-0.106713
2723000.000000	0.033263	0.881476	-0.229016	-0.153228	-0.207786	-0.179459
2724000.000000	0.057243	1.356794	-0.220355	-0.195036	-0.207855	-0.252204
2725000.000000	0.085881	1.477932	-0.216682	-0.237552	-0.207925	-0.324949
2726000.000000	0.115112	1.523253	-0.214892	-0.280168	-0.207994	-0.397694
2727000.000000	0.144477	1.545175	-0.214013	-0.322803	-0.208064	-0.470439
2728000.000000	0.173885	1.557760	-0.213658	-0.365439	-0.208134	-0.543185
2729000.000000	0.203305	1.565958	-0.213645	-0.408075	-0.208203	-0.615930
2730000.000000	0.232725	1.571867	-0.213878	-0.450712	-0.208273	-0.688675
2731000.000000	0.262139	1.576470	-0.214303	-0.493350	-0.208342	-0.761420
2732000.000000	0.291544	1.580293	-0.214888	-0.535991	-0.208412	-0.834165
2733000.000000	0.320936	1.583624	-0.215613	-0.578635	-0.208482	-0.906910
2734000.000000	0.350313	1.586640	-0.216463	-0.621285	-0.208551	-0.979656
2735000.000000	0.379673	1.589451	-0.217432	-0.663940	-0.208621	-1.052401
2736000.000000	0.409011	1.592128	-0.218513	-0.706603	-0.208690	-1.125146
2737000.000000	0.438328	1.594725	-0.219703	-0.749272	-0.208760	-1.197891
2738000.000000	0.467620	1.597269	-0.221001	-0.791951	-0.208829	-1.270636
2739000.000000	0.496886	1.599795	-0.222405	-0.834639	-0.208899	-1.343381
2740000.000000	0.526123	1.602317	-0.223915	-0.877337	-0.208968	-1.416126
2741000.000000	0.555328	1.604856	-0.225532	-0.920047	-0.209038	-1.488871
2742000.000000	0.584501	1.607418	-0.227258	-0.962768	-0.209107	-1.561617
2743000.000000	0.613636	1.610022	-0.229093	-1.005502	-0.209177	-1.634362
2744000.000000	0.642733	1.612669	-0.231041	-1.048250	-0.209246	-1.707107
2745000.000000	0.671788	1.615378	-0.233102	-1.091012	-0.209316	-1.779852
2746000.000000	0.700799	1.618147	-0.235282	-1.133789	-0.209385	-1.852597
2747000.000000	0.729762	1.620991	-0.237581	-1.176583	-0.209455	-1.925342
2748000.000000	0.758674	1.623915	-0.240004	-1.219394	-0.209524	-1.998087
2749000.000000	0.787531	1.626926	-0.242555	-1.262224	-0.209594	-2.070832
2750000.000000	0.816330	1.630032	-0.245238	-1.305072	-0.209663	-2.143577
2751000.000000	0.845067	1.633243	-0.248056	-1.347941	-0.209733	-2.216322
2752000.000000	0.873738	1.636563	-0.251015	-1.390831	-0.209802	-2.289067
2753000.000000	0.902338	1.640004	-0.254119	-1.433744	-0.209871	-2.361812
2754000.000000	0.930863	1.643573	-0.257375	-1.476680	-0.209941	-2.434557
2755000.000000	0.959307	1.647277	-0.260788	-1.519640	-0.210010	-2.507302
2756000.000000	0.987665	1.651130	-0.264364	-1.562627	-0.210080	-2.580047
2757000.000000	1.015931	1.655137	-0.268109	-1.605641	-0.210149	-2.652792
2758000.000000	1.044099	1.659311	-0.272032	-1.648683	-0.210218	-2.725537
2759000.000000	1.072162	1.663664	-0.276138	-1.691754	-0.210288	-2.798282
2760000.000000	1.100112	1.668204	-0.280437	-1.734857	-0.210357	-2.871027
2761000.000000	1.127942	1.672948	-0.284935	-1.777993	-0.210426	-2.943772
2762000.000000	1.155644	1.677907	-0.289644	-1.821162	-0.210496	-3.016517
2763000.000000	1.183207	1.683093	-0.294572	-1.864367	-0.210565	-3.089262
2764000.000000	1.210623	1.688526	-0.299728	-1.907609	-0.210635	3.121178
2765000.000000	1.237880	1.694217	-0.305125	-1.950889	-0.210704	3.048433
2766000.000000	1.264968	1.700184	-0.310773	-1.994209	-0.210773	2.975688
2767000.000000	1.291873	1.706447	-0.316685	-2.037571	-0.210842	2.902943
2768000.000000	1.318580	1.713024	-0.322874	-2.080977	-0.210912	2.830198
2769000.000000	1.345077	1.719934	-0.329353	-2.124427	-0.210981	2.757453
2770000.000000	1.371346	1.727201	-0.336136	-2.167924	-0.211050	2.684708
2771000.000000	1.397371	1.734847	-0.343240	-2.211469	-0.211120	2.611963
2772000.000000	1.423130	1.742895	-0.350681	-2.255065	-0.211189	2.539218
2773000.000000	1.448606	1.751373	-0.358476	-2.298711	-0.211258	2.466473
2774000.000000	1.473772	1.760307	-0.366643	-2.342411	-0.211327	2.393729
2775000.000000	1.498607	1.769727	-0.375203	-2.386165	-0.211397	2.320984
2776000.000000	1.523083	1.779662	-0.384175	-2.429975	-0.211466	2.248239
2777000.000000	1.588837	1.806780	-0.384175	-2.429975	-0.211535	2.175494
2778000.000000	1.654154	1.834966	-0.384175	-2.429975	-0.211604	2.102749
2779000.000000	1.718961	1.864465	-0.384175	-2.429975	-0.211674	2.030004
2780000.000000	1.783176	1.895544	-0.384175	-2.429975	-0.211743	1.957259
2781000.000000	1.846700	1.928507	-0.384175	-2.429975	-0.211812	1.884514
2782000.000000	1.909418	1.963693	-0.384175	-2.429975	-0.211881	1.811769
2783000.000000	1.971189	2.001491	-0.384175	-2.429975	-0.211951	1.739025
2784000.000000	2.031853	2.042346	-0.384175	-2.429975	-0.212020	1.666280
2785000.000000	2.091207	2.086771	-0.384175	-2.429975	-0.212089	1.593535
2786000.000000	2.149011	2.135356	-0.384175	-2.429975	-0.212158	1.520790
2787000.000000	2.204971	2.188769	-0.384175	-2.429975	-0.212227	1.448045
2788000.000000	2.258731	2.247762	-0.384175	-2.429975	-0.212296	1.375300
2789000.000000	2.309859	2.313158	-0.384175	-2.429975	-0.212366	1.302555
2790000.000000	2.357835	2.385813	-0.384175	-2.429975	-0.212435	1.229811
2791000.000000	2.402043	2.466559	-0.384175	-2.429975	-0.212504	1.157066
2792000.000000	2.441761	2.556084	-0.384175	-2.429975	-0.212573	1.084321
2793000.000000	2.476184	2.654766	-0.384175	-2.429975	-0.212642	1.011576
2794000.000000	2.504449	2.762452	-0.384175	-2.429975	-0.212711	0.938831
2795000.000000	2.525706	2.878233	-0.384175	-2.429975	-0.212780	0.866087
2796000.000000	2.539210	3.000300	-0.384175	-2.429975	-0.212849	0.793342
2797000.000000	2.544435	3.125984	-0.384175	-2.429975	-0.212918	0.720597
2798000.000000	2.541162	-3.031133	-0.384175	-2.429975	-0.212988	0.647852
2799000.000000	2.529531	-2.907973	-0.384175	-2.429975	-0.213057	0.575107
2800000.000000	2.510003	-2.790557	-0.384175	-2.429975	-0.213126	0.502363
2801000.000000	2.483282	-2.680904	-0.384175	-2.429975	-0.213195	0.429618
2802000.000000	2.450203	-2.580124	-0.384175	-2.429975	-0.213264	0.356873
2803000.000000	2.411632	-2.488525	-0.384175	-2.429975	-0.213333	0.284128
2804000.000000	2.368394	-2.405833	-0.384175	-2.429975	-0.213402	0.211384
2805000.000000	2.321228	-2.331410	-0.384175	-2.429975	-0.213471	0.138639
2806000.000000	2.270778	-2.264449	-0.384175	-2.429975	-0.213540	0.065894
2807000.000000	2.217584	-2.204092	-0.384175	-2.429975	-0.213609	-0.006851
2808000.000000	2.162098	-2.149505	-0.384175	-2.429975	-0.213678	-0.079595
2809000.000000	2.104691	-2.099917	-0.384175	-2.429975	-0.213747	-0.152340
2810000.000000	2.045671	-2.054641	-0.384175	-2.429975	-0.213816	-0.225085
2811000.000000	1.985292	-2.013071	-0.384175	-2.429975	-0.213885	-0.297829
2812000.000000	1.923758	-1.974678	-0.384175	-2.429975	-0.213954	-0.370574
2813000.000000	1.861244	-1.939000	-0.384175	-2.429975	-0.214023	-0.443319
2814000.000000	1.797893	-1.905640	-0.384175	-2.429975	-0.214092	-0.516064
2815000.000000	1.733827	-1.874247	-0.384175	-2.429975	-0.214161	-0.588808
2816000.000000	1.669144	-1.844512	-0.384175	-2.429975	-0.214230	-0.661553
2817000.000000	1.603933	-1.816161	-0.384175	-2.429975	-0.214299	-0.734298
2818000.000000	1.496603	-1.772262	-0.392854	-2.385940	-0.214368	-0.807042
2819000.000000	1.388895	-1.728624	-0.399758	-2.341396	-0.214437	-0.879787
2820000.000000	1.280897	-1.684879	-0.404866	-2.296455	-0.214505	-0.952532
2821000.000000	1.172686	-1.640656	-0.408147	-2.251232	-0.214574	-1.025276
2822000.000000	1.064334	-1.595529	-0.409553	-2.205848	-0.214643	-1.098021
2823000.000000	0.955920	-1.548971	-0.409020	-2.160433	-0.214712	-1.170766
2824000.000000	0.847535	-1.500263	-0.406457	-2.115131	-0.214781	-1.243510
2825000.000000	0.739284	-1.448354	-0.401733	-2.070106	-0.214850	-1.316255
2826000.000000	0.631316	-1.391594	-0.394659	-2.025558	-0.214919	-1.388999
2827000.000000	0.523848	-1.327207	-0.384945	-1.981753	-0.214988	-1.461744
2828000.000000	0.417243	-1.250109	-0.372121	-1.939088	-0.215056	-1.534489
2829000.000000	0.312180	-1.149884	-0.355371	-1.898264	-0.215125	-1.607233
2830000.000000	0.210167	-1.001515	-0.333131	-1.860832	-0.215194	-1.679978
2831000.000000	0.115518	-0.729583	-0.302195	-1.831447	-0.215263	-1.752722
2832000.000000	0.045389	-0.066448	-0.260622	-1.828551	-0.215332	-1.825467
2833000.000000	0.039739	0.981484	-0.237615	-1.864397	-0.215401	-1.898212
2834000.000000	0.064500	1.363143	-0.229221	-1.906347	-0.215469	-1.970956
2835000.000000	0.092996	1.474741	-0.225424	-1.948936	-0.215538	-2.043701
2836000.000000	0.122070	1.519803	-0.223498	-1.991630	-0.215607	-2.116445
2837000.000000	0.151292	1.542523	-0.222516	-2.034343	-0.215676	-2.189190
2838000.000000	0.180563	1.555876	-0.222091	-2.077058	-0.215745	-2.261934
2839000.000000	0.209848	1.564696	-0.222032	-2.119774	-0.215813	-2.334679
2840000.000000	0.239135	1.571083	-0.222240	-2.162490	-0.215882	-2.407423
2841000.000000	0.268418	1.576065	-0.222656	-2.205207	-0.215951	-2.480168
2842000.000000	0.297691	1.580188	-0.223245	-2.247927	-0.216020	-2.552913
2843000.000000	0.326950	1.583768	-0.223983	-2.290651	-0.216088	-2.625657
2844000.000000	0.356193	1.586997	-0.224856	-2.333380	-0.216157	-2.698402
2845000.000000	0.385415	1.589993	-0.225855	-2.376116	-0.216226	-2.771146
2846000.000000	0.414617	1.592833	-0.226973	-2.418859	-0.216294	-2.843891
2847000.000000	0.443795	1.595576	-0.228207	-2.461610	-0.216363	-2.916635
2848000.000000	0.472947	1.598262	-0.229553	-2.504370	-0.216432	-2.989380
2849000.000000	0.502070	1.600918	-0.231011	-2.547140	-0.216501	-3.062124
2850000.000000	0.531162	1.603562	-0.232581	-2.589922	-0.216569	-3.134869
2851000.000000	0.560220	1.606219	-0.234263	-2.632715	-0.216638	3.075572
2852000.000000	0.589242	1.608899	-0.236058	-2.675521	-0.216707	3.002828
2853000.000000	0.618225	1.611614	-0.237968	-2.718341	-0.216775	2.930083
2854000.000000	0.647165	1.614376	-0.239995	-2.761176	-0.216844	2.857339
2855000.000000	0.676061	1.617195	-0.242141	-2.804027	-0.216913	2.784594
2856000.000000	0.704909	1.620079	-0.244408	-2.846894	-0.216981	2.711850
2857000.000000	0.733704	1.623037	-0.246801	-2.889779	-0.217050	2.639106
2858000.000000	0.762446	1.626074	-0.249323	-2.932683	-0.217118	2.566361
2859000.000000	0.791127	1.629203	-0.251977	-2.975607	-0.217187	2.493617
2860000.000000	0.819747	1.632429	-0.254768	-3.018551	-0.217256	2.420872
2861000.000000	0.848299	1.635760	-0.257700	-3.061518	-0.217324	2.348128
2862000.000000	0.876781	1.639207	-0.260777	-3.104507	-0.217393	2.275383
2863000.000000	0.905185	1.642773	-0.264006	3.135664	-0.217461	2.202639
2864000.000000	0.933508	1.646473	-0.267392	3.092625	-0.217530	2.129895
2865000.000000	0.961745	1.650313	-0.270940	3.049559	-0.217599	2.057150
2866000.000000	0.989888	1.654302	-0.274657	3.006464	-0.217667	1.984406
2867000.000000	1.017933	1.658453	-0.278549	2.963340	-0.217736	1.911661
2868000.000000	1.045871	1.662772	-0.282625	2.920185	-0.217804	1.838917
2869000.000000	1.073697	1.667276	-0.286891	2.876998	-0.217873	1.766173
2870000.000000	1.101402	1.671973	-0.291355	2.833777	-0.217941	1.693428
2871000.000000	1.128978	1.676877	-0.296027	2.790521	-0.218010	1.620684
2872000.000000	1.156414	1.682000	-0.300916	2.747227	-0.218078	1.547940
2873000.000000	1.183704	1.687359	-0.306030	2.703895	-0.218147	1.475195
2874000.000000	1.210835	1.692966	-0.311381	2.660523	-0.218215	1.402451
2875000.000000	1.237795	1.698839	-0.316980	2.617109	-0.218284	1.329707
2876000.000000	1.264573	1.704994	-0.322838	2.573651	-0.218352	1.256962
2877000.000000	1.291155	1.711450	-0.328967	2.530147	-0.218421	1.184218
2878000.000000	1.317526	1.718224	-0.335381	2.486596	-0.218489	1.111474
2879000.000000	1.343672	1.725339	-0.342094	2.442995	-0.218558	1.038729
2880000.000000	1.369574	1.732814	-0.349120	2.399344	-0.218626	0.965985
2881000.000000	1.395214	1.740673	-0.356476	2.355639	-0.218695	0.893241
2882000.000000	1.420573	1.748940	-0.364177	2.311880	-0.218763	0.820496
2883000.000000	1.445627	1.757640	-0.372241	2.268063	-0.218831	0.747752
2884000.000000	1.470353	1.766801	-0.380686	2.224188	-0.218900	0.675008
2885000.000000	1.494727	1.776450	-0.389533	2.180253	-0.218968	0.602263
2886000.000000	1.518718	1.786616	-0.398801	2.136256	-0.219037	0.529519
2887000.000000	1.583963	1.814640	-0.398801	2.136256	-0.219105	0.456775
2888000.000000	1.648745	1.843741	-0.398801	2.136256	-0.219173	0.384031
2889000.000000	1.712988	1.874169	-0.398801	2.136256	-0.219242	0.311286
2890000.000000	1.776604	1.906190	-0.398801	2.136256	-0.219310	0.238542
2891000.000000	1.839490	1.940107	-0.398801	2.136256	-0.219379	0.165798
2892000.000000	1.901527	1.976255	-0.398801	2.136256	-0.219447	0.093054
2893000.000000	1.962572	2.015020	-0.398801	2.136256	-0.219515	0.020309
2894000.000000	2.022453	2.056836	-0.398801	2.136256	-0.219584	-0.052435
2895000.000000	2.080967	2.102200	-0.398801	2.136256	-0.219652	-0.125179
2896000.000000	2.137866	2.151676	-0.398801	2.136256	-0.219720	-0.197923
2897000.000000	2.192855	2.205900	-0.398801	2.136256	-0.219789	-0.270667
2898000.000000	2.245576	2.265575	-0.398801	2.136256	-0.219857	-0.343412
2899000.000000	2.295599	2.331453	-0.398801	2.136256	-0.219925	-0.416156
2900000.000000	2.342410	2.404303	-0.398801	2.136256	-0.219994	-0.488900
2901000.000000	2.385411	2.484843	-0.398801	2.136256	-0.220062	-0.561644
2902000.000000	2.423912	2.573634	-0.398801	2.136256	-0.220130	-0.634388
2903000.000000	2.457149	2.670926	-0.398801	2.136256	-0.220198	-0.707133
2904000.000000	2.484319	2.776468	-0.398801	2.136256	-0.220267	-0.779877
2905000.000000	2.504644	2.889331	-0.398801	2.136256	-0.220335	-0.852621
2906000.000000	2.517454	3.007802	-0.398801	2.136256	-0.220403	-0.925365
2907000.000000	2.522280	3.129443	-0.398801	2.136256	-0.220471	-0.998109
2908000.000000	2.518936	-3.031831	-0.398801	2.136256	-0.220540	-1.070853
2909000.000000	2.507553	-2.912589	-0.398801	2.136256	-0.220608	-1.143597
2910000.000000	2.488551	-2.798561	-0.398801	2.136256	-0.220676	-1.216342
2911000.000000	2.462571	-2.691608	-0.398801	2.136256	-0.220744	-1.289086
2912000.000000	2.430379	-2.592795	-0.398801	2.136256	-0.220812	-1.361830
2913000.000000	2.392778	-2.502484	-0.398801	2.136256	-0.220881	-1.434574
2914000.000000	2.350543	-2.420501	-0.398801	2.136256	-0.220949	-1.507318
2915000.000000	2.304378	-2.346330	-0.398801	2.136256	-0.221017	-1.580062
2916000.000000	2.254900	-2.279272	-0.398801	2.136256	-0.221085	-1.652806
2917000.000000	2.202637	-2.218563	-0.398801	2.136256	-0.221153	-1.725550
2918000.000000	2.148033	-2.163444	-0.398801	2.136256	-0.221221	-1.798294
2919000.000000	2.091456	-2.113200	-0.398801	2.136256	-0.221290	-1.871039
2920000.000000	2.033217	-2.067186	-0.398801	2.136256	-0.221358	-1.943783
2921000.000000	1.973568	-2.024823	-0.398801	2.136256	-0.221426	-2.016527
2922000.000000	1.912721	-1.985604	-0.398801	2.136256	-0.221494	-2.089271
2923000.000000	1.850852	-1.949083	-0.398801	2.136256	-0.221562	-2.162015
2924000.000000	1.788108	-1.914870	-0.398801	2.136256	-0.221630	-2.234759
2925000.000000	1.724614	-1.882619	-0.398801	2.136256	-0.221698	-2.307503
2926000.000000	1.660475	-1.852025	-0.398801	2.136256	-0.221766	-2.380247
2927000.000000	1.595781	-1.822815	-0.398801	2.136256	-0.221834	-2.452991
2928000.000000	1.488942	-1.777372	-0.407702	2.180511	-0.221903	-2.525735
2929000.000000	1.381708	-1.732146	-0.414765	2.225310	-0.221971	-2.598479
2930000.000000	1.274167	-1.686765	-0.419967	2.270534	-0.222039	-2.671223
2931000.000000	1.166403	-1.640852	-0.423271	2.316056	-0.222107	-2.743967
2932000.000000	1.058494	-1.593971	-0.424628	2.361746	-0.222175	-2.816711
2933000.000000	0.950524	-1.545580	-0.423970	2.407462	-0.222243	-2.889455
2934000.000000	0.842588	-1.494934	-0.421200	2.453047	-0.222311	-2.962199
2935000.000000	0.734804	-1.440942	-0.416184	2.498322	-0.222379	-3.034943
2936000.000000	0.627329	-1.381886	-0.408725	2.543069	-0.222447	-3.107687
2937000.000000	0.520400	-1.314872	-0.398524	2.586999	-0.222515	3.102754
2938000.000000	0.414411	-1.234607	-0.385098	2.629678	-0.222583	3.030010
2939000.000000	0.310096	-1.130263	-0.367610	2.670344	-0.222651	2.957266
2940000.000000	0.209085	-0.976007	-0.344483	2.707324	-0.222719	2.884523
2941000.000000	0.115972	-0.695480	-0.312613	2.735684	-0.222787	2.811779
2942000.000000	0.048150	-0.035994	-0.270974	2.737259	-0.222855	2.739035
2943000.000000	0.042257	0.961064	-0.247267	2.701809	-0.222923	2.666291
2944000.000000	0.066374	1.346951	-0.238221	2.659908	-0.222991	2.593547
2945000.000000	0.094593	1.465423	-0.234045	2.617267	-0.223059	2.520803
2946000.000000	0.123491	1.514143	-0.231890	2.574501	-0.223126	2.448059
2947000.000000	0.152563	1.538886	-0.230765	2.531710	-0.223194	2.375315
2948000.000000	0.181693	1.553462	-0.230247	2.488914	-0.223262	2.302571
2949000.000000	0.210845	1.563079	-0.230128	2.446119	-0.223330	2.229827
2950000.000000	0.239999	1.570012	-0.230299	2.403323	-0.223398	2.157083
2951000.000000	0.269149	1.575392	-0.230694	2.360526	-0.223466	2.084339
2952000.000000	0.298289	1.579817	-0.231275	2.317727	-0.223534	2.011596
2953000.000000	0.327416	1.583639	-0.232015	2.274923	-0.223602	1.938852
2954000.000000	0.356525	1.587067	-0.232898	2.232114	-0.223670	1.866108
2955000.000000	0.385615	1.590227	-0.233914	2.189299	-0.223737	1.793364
2956000.000000	0.414682	1.593215	-0.235056	2.146476	-0.223805	1.720620
2957000.000000	0.443723	1.596090	-0.236318	2.103644	-0.223873	1.647876
2958000.000000	0.472737	1.598895	-0.237698	2.060802	-0.223941	1.575132
2959000.000000	0.501720	1.601660	-0.239195	2.017950	-0.224009	1.502388
2960000.000000	0.530670	1.604411	-0.240808	1.975086	-0.224077	1.429645
2961000.000000	0.559584	1.607166	-0.242537	1.932209	-0.224144	1.356901
2962000.000000	0.588459	1.609943	-0.244383	1.889318	-0.224212	1.284157
2963000.000000	0.617293	1.612754	-0.246348	1.846412	-0.224280	1.211413
2964000.000000	0.646082	1.615609	-0.248434	1.803491	-0.224348	1.138669
2965000.000000	0.674823	1.618521	-0.250642	1.760553	-0.224416	1.065926
2966000.000000	0.703514	1.621495	-0.252977	1.717597	-0.224483	0.993182
2967000.000000	0.732149	1.624544	-0.255441	1.674622	-0.224551	0.920438
2968000.000000	0.760725	1.627676	-0.258037	1.631626	-0.224619	0.847694
2969000.000000	0.789240	1.630898	-0.260769	1.588610	-0.224687	0.774950
2970000.000000	0.817687	1.634216	-0.263643	1.545571	-0.224754	0.702207
2971000.000000	0.846064	1.637643	-0.266661	1.502509	-0.224822	0.629463
2972000.000000	0.874365	1.641185	-0.269829	1.459422	-0.224890	0.556719
2973000.000000	0.902584	1.644849	-0.273153	1.416308	-0.224957	0.483975
2974000.000000	0.930718	1.648648	-0.276637	1.373168	-0.225025	0.411232
2975000.000000	0.958758	1.652589	-0.280288	1.329998	-0.225093	0.338488
2976000.000000	0.986701	1.656682	-0.284113	1.286798	-0.225161	0.265744
2977000.000000	1.014540	1.660936	-0.288117	1.243567	-0.225228	0.193000
2978000.000000	1.042264	1.665364	-0.292309	1.200302	-0.225296	0.120257
2979000.000000	1.069870	1.669977	-0.296696	1.157002	-0.225364	0.047513
2980000.000000	1.097348	1.674785	-0.301286	1.113666	-0.225431	-0.025231
